image_name,count,good,bad,good_ratio,bad_ratio,quality_score,dominant_quality
0000001_jpg.rf.18d233b7ce0eaaed4523311f17a3bb66.jpg,34,34,0,1.0,0.0,1.0,good
0000744_jpg.rf.f3d00430a79f73912d252a104093c693.jpg,93,93,0,1.0,0.0,1.0,good
0000748_jpg.rf.e8d6aa247f4c0d747a50d2dc4cfeb20c.jpg,102,102,0,1.0,0.0,1.0,good
0000748_jpg.rf.e616bea934b767aa9942da7e2feba6cb.jpg,102,102,0,1.0,0.0,1.0,good
0000748_jpg.rf.7b1a61936c8ab84ff6445673371c1c4c.jpg,102,102,0,1.0,0.0,1.0,good
0000747_jpg.rf.a46194be6331c878095f1c3a9a77a2e1.jpg,150,150,0,1.0,0.0,1.0,good
0000747_jpg.rf.3384fdba017c7d8a9a1682c72dc3819a.jpg,150,150,0,1.0,0.0,1.0,good
0000747_jpg.rf.1356e1be2dbd0b219e1de88852ae5888.jpg,150,150,0,1.0,0.0,1.0,good
0000746_jpg.rf.c53f7ce07f7718e9df985aad803c198c.jpg,284,284,0,1.0,0.0,1.0,good
0000746_jpg.rf.c29995c4229e74075fa0c3246cd480af.jpg,284,284,0,1.0,0.0,1.0,good
0000746_jpg.rf.9b3c5a4c05d3774c17744e004cf4fc34.jpg,284,284,0,1.0,0.0,1.0,good
0000745_jpg.rf.b1a4b2da8ee159d29de9064dc34815f4.jpg,192,192,0,1.0,0.0,1.0,good
0000745_jpg.rf.457a475d540c8ccbfd64279e20938f66.jpg,192,192,0,1.0,0.0,1.0,good
0000745_jpg.rf.398167c759c4f3a01fc5b628168bc27e.jpg,192,192,0,1.0,0.0,1.0,good
0000744_jpg.rf.c02eacf89a794713da198ec9165a5048.jpg,93,93,0,1.0,0.0,1.0,good
0000739_jpg.rf.f06915cce4ad1dfe8a3051951cbfce14.jpg,151,151,0,1.0,0.0,1.0,good
0000744_jpg.rf.5ed77531c532a6e0e18cd1fd4bf91158.jpg,93,93,0,1.0,0.0,1.0,good
0000743_jpg.rf.c6efe35c7d0a78d05ea3e97444bd8346.jpg,140,140,0,1.0,0.0,1.0,good
0000743_jpg.rf.74fe044e72208ab08e66a7059405f9ef.jpg,140,140,0,1.0,0.0,1.0,good
0000743_jpg.rf.6c2ed935932da21485b3b869bd65c2b4.jpg,140,140,0,1.0,0.0,1.0,good
0000742_jpg.rf.9c1e6bac513f5763bb4c3f674d9d6443.jpg,177,177,0,1.0,0.0,1.0,good
0000742_jpg.rf.89087899ab036cca72bc9a54b3b385af.jpg,177,177,0,1.0,0.0,1.0,good
0000742_jpg.rf.6a060b08ec54c7abe47dc9bc95f5e22c.jpg,177,177,0,1.0,0.0,1.0,good
0000741_jpg.rf.d7e99bd4414ec70208aeeb79b1488c4e.jpg,249,249,0,1.0,0.0,1.0,good
0000741_jpg.rf.bfd530145f7205c9e89756cdbe6a7400.jpg,249,249,0,1.0,0.0,1.0,good
0000741_jpg.rf.0aaa9932abeb62e30b56b235046f353c.jpg,249,249,0,1.0,0.0,1.0,good
0000740_jpg.rf.99271819a223b0e71f0634ea394143bd.jpg,150,150,0,1.0,0.0,1.0,good
0000740_jpg.rf.61e356ff57cb91f7643ca7e53e76ced2.jpg,150,150,0,1.0,0.0,1.0,good
0000749_jpg.rf.1cf4aad1b2c9140f524adf11ba3b361f.jpg,148,148,0,1.0,0.0,1.0,good
0000749_jpg.rf.a49c810bf4319aae65c835a7d734c5a9.jpg,148,148,0,1.0,0.0,1.0,good
0000749_jpg.rf.c8cb3ee53f46b4e8fe21e4ad9ab4ef38.jpg,148,148,0,1.0,0.0,1.0,good
0000750_jpg.rf.6e8bea86795ad1792bd55a1401d7994a.jpg,194,194,0,1.0,0.0,1.0,good
0000840_jpg.rf.513c84bb2375d88ed387775d1d98a9c1.jpg,79,79,0,1.0,0.0,1.0,good
0000840_jpg.rf.1b1250e7b5793c4ccf439d7f3c5241c5.jpg,79,79,0,1.0,0.0,1.0,good
0000839_jpg.rf.c9a5f92737d8259436ac73d82c5156d5.jpg,79,79,0,1.0,0.0,1.0,good
0000839_jpg.rf.58e28cf104c43ff8a4c7f733537364b1.jpg,79,79,0,1.0,0.0,1.0,good
0000839_jpg.rf.04d81278aba5f1716d8b26b70ca0fb26.jpg,79,79,0,1.0,0.0,1.0,good
0000835_jpg.rf.72036e4d04c932b9ed793dffcd426b0c.jpg,465,465,0,1.0,0.0,1.0,good
